Date,Equity
19740219,121815.63619099399
19740220,124020.767851994
19740221,125604.904927994
19740222,126500.935895994
19740225,126323.231228994
19740226,128129.411202494
19740227,128535.27702099399
19740228,128333.35507649399
19740301,127420.371878494
19740304,127514.656371494
19740305,130302.182795494
19740306,131248.80012449398
19740307,129459.939954494
19740308,130711.871035494
19740311,132156.60215949398
19740312,132241.278331994
19740313,132657.17815199398
19740314,132713.539510994
19740315,132878.810419494
19740318,130422.770041994
19740319,129143.603288994
19740320,129895.849877494
19740321,130334.182165494
19740322,130026.79737199399
19740325,130224.272566994
19740326,130373.50701099398
19740327,128060.802188494
19740328,125662.11681899399
19740329,125325.366919494
19740401,124544.624245494
19740402,124910.517519494
19740403,126300.117754494
19740404,126234.50677049399
19740405,124574.088877494
19740408,123693.447010494
19740409,124752.670475494
19740410,123070.44945114199
19740411,123143.505167942
19740415,122838.054650142
19740416,125450.057247942
19740417,125300.216548142
19740418,125189.277121142
19740419,123681.373901142
19740422,123623.686155142
19740423,120362.767284142
19740424,118723.91800054199
19740425,117922.752407542
19740426,118671.472160142
19740429,118858.843433142
19740430,118858.850580142
19740501,121258.482704942
19740502,121685.090864142
19740503,120625.68660314199
19740506,121299.004623142
19740507,121852.990771142
19740508,121869.091241142
19740509,124283.933207742
19740510,121816.944854742
19740513,121268.06757914199
19740514,121021.832719742
19740515,120582.407771742
19740516,120102.446214742
19740517,118670.816725742
19740520,119086.31130114199
19740521,119035.399128142
19740522,117621.315290142
19740523,118269.996262142
19740524,119208.53568114199
19740528,119026.542375142
19740529,116115.811196742
19740530,117619.548893742
19740531,117497.99724174199
19740603,120474.444558542
19740604,121001.628724942
19740605,121164.585078942
19740606,123533.407078542
19740607,123532.141973142
19740610,124933.44307394199
19740611,123347.29763314199
19740612,123409.326590942
19740613,123578.092076942
19740614,122060.614307942
19740617,119286.579224742
19740618,118466.699679742
19740619,118063.858511742
19740620,117232.033617542
19740621,115818.670101742
19740624,116628.54691834199
19740625,119002.95824214199
19740626,116201.875849342
19740627,114885.666922342
19740628,114435.547052342
19740701,114708.391666342
19740702,112193.792387742
19740703,112594.74915234199
19740705,110710.730179742
19740708,107277.53901774199
19740709,107060.975539742
19740710,103824.587726071
19740711,105121.71230807099
19740712,110132.63586137099
19740715,110519.89790537099
19740716,109702.418979371
19740717,110794.605707371
19740718,111462.54924337099
19740719,111883.17305637099
19740722,112241.090101371
19740723,114209.927331371
19740724,114193.297773371
19740725,112766.046341371
19740726,110212.43884837099
19740729,107466.79771107099
19740730,107660.558901071
19740731,106587.33789107099
19740801,105601.017159071
19740802,105537.59337607099
19740805,106653.401036071
19740806,108472.10276507099
19740807,110890.706503071
19740808,109261.797771071
19740809,109334.394162071
19740812,107726.911228071
19740813,106036.437569071
19740814,103765.44288257099
19740815,103605.08911057099
19740816,102826.05566657099
19740819,101627.18682657099
19740820,101201.400097571
19740821,100502.91980757099
19740822,99707.27558857099
19740823,97837.02293557099
19740826,99187.245705571
19740827,97458.057095571
19740828,96738.14394757099
19740829,95638.26148057099
19740830,98482.17844207099
19740903,94897.430241071
19740904,92869.11401007099
19740905,96069.91307307099
19740906,96668.82488407099
19740909,93398.952893071
19740910,92726.36513907099
19740911,91711.84848457099
19740912,87932.82040307099
19740913,85415.67295727099
19740916,87946.93391507099
19740917,88960.61911007098
19740918,89594.418815071
19740919,92880.83057207099
19740920,93368.18600407099
19740923,91908.527590071
19740924,90259.14586207099
19740925,89284.207809071
19740926,88547.49591707099
19740927,86160.35503727099
19740930,83525.61927627098
19741001,83977.72736327098
19741002,83529.23970727099
19741003,81913.840317271
19741004,82501.96110827099
19741007,85944.93333827099
19741008,84527.27555227099
19741009,89488.24446807099
19741010,89781.51004226498
19741011,91818.67071276499
19741014,94270.16045476499
19741015,92582.98015926499
19741016,91133.16710726499
19741017,91695.12264926499
19741018,93147.25532626499
19741021,95006.21468926499
19741022,94869.80580326499
19741023,92237.26534626499
19741024,91350.01474026499
19741025,91498.87426026499
19741028,91636.827359265
19741029,94554.39452376499
19741030,96135.60541276498
19741031,96454.01056026499
19741101,95568.96740776498
19741104,94473.09534376499
19741105,97600.810411765
19741106,96775.42867476499
19741107,98063.58733976498
19741108,97209.14221676499
19741111,97616.053073765
19741112,95790.89597776499
19741113,95500.91227076498
19741114,94362.93518376499
19741115,92086.48051226499
19741118,88513.72496426498
19741119,87349.10527726499
19741120,87319.72872626499
19741121,89531.05152376498
19741122,90614.95580576498
19741125,90327.60802776499
19741126,91313.14036076498
19741127,91356.08470776498
19741129,91634.56325576498
