<TICKER>        <NAME>
DSGX.US         DESCARTES SYSTEMS GROUP
DSKE.US         DASEKE
DSP.US          VIANT TECHNOLOGY
DSWL.US         DESWELL INDUSTRIES
DTI.US          DRILLING TOOLS INT
DTIL.US         PRECISION BIOSCIENCES
DTOC.US         DIGITAL TRANSFORMATION OPPORTUNITIES
DTOCU.US        DIGITAL TRANSFORMATION OPPORTUNITIES
DTOCW.US        DIGITAL TRANSFORMATION OPPORTUNITIES
DTSS.US         DATASEA
DTST.US         DATA STORAGE
DTSTW.US        DATA STORAGE
DUET.US         DUET ACQUISITION
DUETU.US        DUET ACQUISITION
DUETW.US        DUET ACQUISITION
DUNE.US         DUNE ACQUISITION
DUNEU.US        DUNE ACQUISITION
DUNEW.US        DUNE ACQUISITION
DUO.US          FANGDD NETWORK GROUP
DUOL.US         DUOLINGO
DUOT.US         DUOS TECHNOLOGIES GROUP
DVAL.US         BRANDYWINEGLOBAL DYNAMIC US LARGE CAP VALUE ETF
DVAX.US         DYNAVAX TECHNOLOGIES
DWAC.US         DIGITAL WORLD ACQUISITION
DWACU.US        DIGITAL WORLD ACQUISITION
DWACW.US        DIGITAL WORLD ACQUISITION
DWSN.US         DAWSON GEOPHYSICAL
DXCM.US         DEXCOM
DXLG.US         DESTINATION XL GROUP
DXPE.US         DXP ENTERPRISES INC/TX
DXR.US          DAXOR
DXYN.US         DIXIE GROUP
DYAI.US         DYADIC INT
DYN.US          DYNE THERAPEUTICS
DYNT.US         DYNATRONICS
DYTA.US         SGI DIVERSIFIED TACTICAL FUND
DZSI.US         DZS
EA.US           ELECTRONIC ARTS
EAC.US          EDIFY ACQUISITION
EACPU.US        EDIFY ACQUISITION
EACPW.US        EDIFY ACQUISITION
EAR.US          EARGO
EAST.US         EASTSIDE DISTILLING
EBAY.US         EBAY
EBC.US          EASTERN BANKSHARES
EBET.US         EBET
EBIX.US         EBIX
EBMT.US         EAGLE BANCORP MONTANA
EBON.US         EBANG INT HOLDINGS
EBTC.US         ENTERPRISE BANCORP INC/MA
ECBK.US         ECB BANCORP INC/MD
ECOR.US         ELECTROCORE
ECPG.US         ENCORE CAPITAL GROUP
ECX.US          ECARX HOLDINGS
ECXWW.US        ECARX HOLDINGS
EDAP.US         EDAP TMS
EDBL.US         EDIBLE GARDEN
EDBLW.US        EDIBLE GARDEN
EDIT.US         EDITAS MEDICINE
EDRY.US         EURODRY
EDSA.US         EDESA BIOTECH
EDTK.US         SKILLFUL CRAFTSMAN EDUCATION TECHNOLOGY
EDTX.US         EDTECHX HOLDINGS ACQUISITION II
EDTXU.US        EDTECHX HOLDINGS ACQUISITION II
EDUC.US         EDUCATIONAL DEVELOPMENT
EEFT.US         EURONET WORLDWIDE
EEIQ.US         EPICQUEST EDUCATION GROUP INTE
EFHT.US         EF HUTTON ACQUISITION I
EFHTR.US        EF HUTTON ACQUISITION I
EFHTW.US        EF HUTTON ACQUISITION I
EFOI.US         ENERGY FOCUS
EFRA.US         ISHARES ENVIRONMENTAL INFRASTRUCTURE AND INDUSTRIALS ETF
EFSC.US         ENTERPRISE FINANCIAL SERVICES
EFSCP.US        Enterprise Financial Services 
EFTR.US         EFFECTOR THERAPEUTICS
EFTRW.US        EFFECTOR THERAPEUTICS
EGAN.US         EGAIN
EGBN.US         EAGLE BANCORP
EGHT.US         8X8
EGIO.US         EDGIO
EGLX.US         ENTHUSIAST GAMING HOLDINGS
EGRX.US         EAGLE PHARMACEUTICALS INC/DE
EH.US           EHANG HOLDINGS
EHTH.US         EHEALTH
EIGR.US         EIGER BIOPHARMACEUTICALS
EJH.US          E-HOME HOUSEHOLD SERVICE HOLDINGS
EKG.US          FIRST TRUST NASDAQ LUX DIGITAL HEALTH SOLUTIONS ETF
EKSO.US         EKSO BIONICS HOLDINGS
ELBM.US         ELECTRA BATTERY MATERIALS
ELDN.US         ELEDON PHARMACEUTICALS
ELEV.US         ELEVATION ONCOLOGY
ELOX.US         ELOXX PHARMACEUTICALS
ELSE.US         ELECTRO-SENSORS
ELTK.US         ELTEK
ELTX.US         ELICIO THERAPEUTICS
ELVA.US         ELECTROVAYA
ELVN.US         ENLIVEN THERAPEUTICS
ELWS.US         EARLYWORKS
ELYM.US         ELIEM THERAPEUTICS
ELYS.US         ELYS GAME TECHNOLOGY
EM.US           SMART SHARE GLOBAL
EMBC.US         EMBECTA
EMBK.US         EMBARK TECHNOLOGY
EMBKW.US        EMBARK TECHNOLOGY
EMCG.US         EMBRACE CHANGE ACQUISITION
EMCGR.US        EMBRACE CHANGE ACQUISITION
EMCGU.US        EMBRACE CHANGE ACQUISITION
EMCGW.US        EMBRACE CHANGE ACQUISITION
EMKR.US         EMCORE
EML.US          EASTERN
EMLD.US         FTAC EMERALD ACQUISITION
EMLDU.US        FTAC EMERALD ACQUISITION
EMLDW.US        FTAC EMERALD ACQUISITION
ENCP.US         ENERGEM
ENCPU.US        ENERGEM
ENCPW.US        ENERGEM
ENER.US         ACCRETION ACQUISITION
ENERR.US        ACCRETION ACQUISITION
ENERU.US        ACCRETION ACQUISITION
ENERW.US        ACCRETION ACQUISITION
ENG.US          ENGLOBAL
ENLT.US         ENLIGHT RENEWABLE ENERGY
ENLV.US         ENLIVEX THERAPEUTICS
ENOB.US         ENOCHIAN BIOSCIENCES
ENPH.US         ENPHASE ENERGY
ENSC.US         ENSYSCE BIOSCIENCES
ENSG.US         ENSIGN GROUP
ENTA.US         ENANTA PHARMACEUTICALS
ENTF.US         ENTERPRISE 4.0 TECHNOLOGY ACQUISITION
ENTFU.US        ENTERPRISE 4.0 TECHNOLOGY ACQUISITION
ENTFW.US        ENTERPRISE 4.0 TECHNOLOGY ACQUISITION
ENTG.US         ENTEGRIS
ENTX.US         ENTERA BIO
ENVB.US         ENVERIC BIOSCIENCES
ENVX.US         ENOVIX
EOLS.US         EVOLUS
EOSE.US         EOS ENERGY ENTERPRISES
EOSEW.US        EOS ENERGY ENTERPRISES
EPIX.US         ESSA PHARMA
EPOW.US         SUNRISE NEW ENERGY
EPSN.US         EPSILON ENERGY
EQ.US           EQUILLIUM
EQIX.US         EQUINIX
EQRX.US         EQRX
EQRXW.US        EQRX
ERAS.US         ERASCA
ERET.US         ISHARES ENVIRONMENTALLY AWARE REAL ESTATE ETF
ERIC.US         TELEFONAKTIEBOLAGET LM ERICSSON
ERIE.US         ERIE INDEMNITY
ERII.US         ENERGY RECOVERY
ERNA.US         ETERNA THERAPEUTICS
ERYP.US         ERYTECH PHARMA
ESAC.US         ESGEN ACQUISITION
ESACU.US        ESGEN ACQUISITION
ESACW.US        ESGEN ACQUISITION
ESCA.US         ESCALADE
ESEA.US         EUROSEAS
ESGLW.US        ESGL HOLDINGS
ESGR.US         ENSTAR GROUP
ESGRO.US        Enstar Group Limited
ESGRP.US        Enstar Group Limited
ESHA.US         ESH ACQUISITION
ESHAR.US        ESH Acquisition Corp
ESHAU.US        ESH ACQUISITION
ESLT.US         ELBIT SYSTEMS
ESMV.US         ISHARES ESG MSCI USA MIN VOL FACTOR ETF
ESOA.US         ENERGY SERVICES OF AMERICA
ESPR.US         ESPERION THERAPEUTICS
ESQ.US          ESQUIRE FINANCIAL HOLDINGS
ESSA.US         ESSA BANCORP
ESTA.US         ESTABLISHMENT LABS HOLDINGS
ETAO.US         ETAO INT
ETEC.US         ISHARES BREAKTHROUGH ENVIRONMENTAL SOLUTIONS ETF
ETNB.US         89BIO
ETON.US         ETON PHARMACEUTICALS
ETSY.US         ETSY
EUCRU.US        EUCRATES BIOMEDICAL ACQUISITION
EUDA.US         EUDA HEALTH HOLDINGS
EUDAW.US        EUDA HEALTH HOLDINGS
EVAX.US         EVAXION BIOTECH A/S
EVBG.US         EVERBRIDGE
EVCM.US         EVERCOMMERCE
EVER.US         EVERQUOTE
EVGN.US         EVOGENE
EVGO.US         EVGO
EVGOW.US        EVGO
EVGR.US         EVERGREEN
EVGRU.US        EVERGREEN
EVGRW.US        EVERGREEN
EVLO.US         EVELO BIOSCIENCES
EVLV.US         EVOLV TECHNOLOGIES HOLDINGS
EVLVW.US        EVOLV TECHNOLOGIES HOLDINGS
EVMT.US         INVESCO ELECTRIC VEHICLE METALS COMMODITY STRATEGY NO K-1 ETF
EVO.US          EVOTEC SE
EVOJ.US         EVO ACQUISITION
EVOK.US         EVOKE PHARMA
EVRG.US         EVERGY
EVTV.US         ENVIROTECH VEHICLES
EWBC.US         EAST WEST BANCORP
EWCZ.US         EUROPEAN WAX CENTER
EWTX.US         EDGEWISE THERAPEUTICS
EXAI.US         EXSCIENTIA
EXAS.US         EXACT SCIENCES
EXC.US          EXELON
EXEL.US         EXELIXIS
EXFY.US         EXPENSIFY
EXLS.US         EXLSERVICE HOLDINGS
EXPD.US         EXPEDITORS INT OF WASHINGTON
EXPE.US         EXPEDIA GROUP
EXPI.US         EXP WORLD HOLDINGS
EXPO.US         EXPONENT
EXTR.US         EXTREME NETWORKS
EYE.US          NATIONAL VISION HOLDINGS
EYEN.US         EYENOVIA
EYPT.US         EYEPOINT PHARMACEUTICALS
EZFL.US         EZFILL HOLDINGS
EZGO.US         EZGO TECHNOLOGIES
EZPW.US         EZCORP
FA.US           FIRST ADVANTAGE
FAMI.US         FARMMI
FANG.US         DIAMONDBACK ENERGY
FANH.US         FANHUA
FARM.US         FARMER BROS
FARO.US         FARO TECHNOLOGIES
FAST.US         FASTENAL
FAT.US          FAT BRANDS
FATBB.US        FAT BRANDS
FATBP.US        FAT Brands
FATBW.US        FAT BRANDS
FATE.US         FATE THERAPEUTICS
FATP.US         FAT PROJECTS ACQUISITION
FATPU.US        FAT PROJECTS ACQUISITION
FATPW.US        FAT PROJECTS ACQUISITION
FAZE.US         FAZE HOLDINGS
FAZEW.US        FAZE HOLDINGS
FBIO.US         FORTRESS BIOTECH
FBIOP.US        Fortress Biotech
FBIZ.US         FIRST BUSINESS FINANCIAL SERVICES
FBL.US          GRANITESHARES 1.5X LONG META DAILY ETF
FBMS.US         FIRST BANCSHARES
FBNC.US         FIRST BANCORP/SOUTHERN PINES NC
FBOT.US         FIDELITY DISRUPTIVE AUTOMATION ETF
FBRX.US         FORTE BIOSCIENCES
FCAP.US         FIRST CAPITAL
FCBC.US         FIRST COMMUNITY BANKSHARES
FCCO.US         FIRST COMMUNITY CORP/SC
FCEL.US         FUELCELL ENERGY
FCFS.US         FIRSTCASH HOLDINGS
FCNCA.US        FIRST CITIZENS BANCSHARES INC/NC
FCNCO.US        First Citizens BancShares
FCNCP.US        First Citizens BancShares
FCUV.US         FOCUS UNIVERSAL
FDBC.US         FIDELITY D&D BANCORP
FDCF.US         FIDELITY DISRUPTIVE COMMUNICATIONS ETF
FDFF.US         FIDELITY DISRUPTIVE FINANCE ETF
FDIF.US         FIDELITY DISRUPTORS ETF
FDIG.US         FIDELITY CRYPTO INDUSTRY AND DIGITAL PAYMENTS ETF
FDMT.US         4D MOLECULAR THERAPEUTICS
FDTX.US         FIDELITY DISRUPTIVE TECHNOLOGY ETF
FDUS.US         FIDUS INVESTMENT
FEAM.US         5E ADVANCED MATERIALS
FEIM.US         FREQUENCY ELECTRONICS
FELE.US         FRANKLIN ELECTRIC
FEMY.US         FEMASYS
FENC.US         FENNEC PHARMACEUTICALS
FEXD.US         FINTECH ECOSYSTEM DEVELOPMENT
FEXDR.US        FINTECH ECOSYSTEM DEVELOPMENT
FEXDW.US        FINTECH ECOSYSTEM DEVELOPMENT
FFBC.US         FIRST FINANCIAL BANCORP
FFIC.US         FLUSHING FINANCIAL
FFIE.US         FARADAY FUTURE INTELLIGENT ELECTRIC
FFIEW.US        FARADAY FUTURE INTELLIGENT ELECTRIC
FFIN.US         FIRST FINANCIAL BANKSHARES
FFIV.US         F5
FFNW.US         FIRST FINANCIAL NORTHWEST
FFWM.US         FIRST FOUNDATION
FGBI.US         FIRST GUARANTY BANCSHARES
FGBIP.US        First Guaranty Bancshares
FGEN.US         FIBROGEN
FGF.US          FG FINANCIAL GROUP
FGFPP.US        FG Financial Group
FGI.US          FGI INDUSTRIES
FGMC.US         FG MERGER
FGMCU.US        FG MERGER
FGMCW.US        FG MERGER
FHB.US          FIRST HAWAIIAN
FHLT.US         FUTURE HEALTH ESG
FHLTU.US        FUTURE HEALTH ESG
FHTX.US         FOGHORN THERAPEUTICS
FIAC.US         FOCUS IMPACT ACQUISITION
FIACU.US        FOCUS IMPACT ACQUISITION
FIACW.US        FOCUS IMPACT ACQUISITION
FIBK.US         FIRST INTERSTATE BANCSYSTEM
FICV.US         FRONTIER INVESTMENT
FICVU.US        FRONTIER INVESTMENT
FICVW.US        FRONTIER INVESTMENT
FINW.US         FINWISE BANCORP
FIP.US          FTAI INFRASTRUCTURE
FISI.US         FINANCIAL INSTITUTIONS
FISV.US         FISERV
FITB.US         FIFTH THIRD BANCORP
FITBI.US        Fifth Third Bancorp
FITBO.US        Fifth Third Bancorp
FITBP.US        Fifth Third Bancorp
FIVE.US         FIVE BELOW
FIVN.US         FIVE9
FIVR.US         STRATEGY SHARES NASDAQ 5HANDL ETF
FIXT.US         PROCURE DISASTER RECOVERY ETF
FIXX.US         HOMOLOGY MEDICINES
FIZZ.US         NATIONAL BEVERAGE
FKWL.US         FRANKLIN WIRELESS
FLEX.US         FLEX
FLFV.US         FEUTUNE LIGHT ACQUISITION
FLFVR.US        FEUTUNE LIGHT ACQUISITION
FLFVU.US        FEUTUNE LIGHT ACQUISITION
FLFVW.US        FEUTUNE LIGHT ACQUISITION
FLGC.US         FLORA GROWTH
FLGT.US         FULGENT GENETICS
FLIC.US         FIRST OF LONG ISLAND
FLJ.US          FLJ GROUP
FLL.US          FULL HOUSE RESORTS
FLNC.US         FLUENCE ENERGY
FLNT.US         FLUENT
FLUX.US         FLUX POWER HOLDINGS
FLWS.US         1-800-FLOWERS.COM
FLXS.US         FLEXSTEEL INDUSTRIES
FLYW.US         FLYWIRE
FMAO.US         FARMERS & MERCHANTS BANCORP INC/ARCHBOLD OH
FMBH.US         FIRST MID BANCSHARES
FMED.US         FIDELITY DISRUPTIVE MEDICINE ETF
FMET.US         FIDELITY METAVERSE ETF
FMIV.US         FORUM MERGER IV
FMIVU.US        FORUM MERGER IV
FMNB.US         FARMERS NATIONAL BANC
FNCB.US         FNCB BANCORP
FNCH.US         FINCH THERAPEUTICS GROUP
FNGR.US         FINGERMOTION
FNKO.US         FUNKO
FNLC.US         FIRST BANCORP
FNVT.US         FINNOVATE ACQUISITION
FNVTU.US        FINNOVATE ACQUISITION
FNVTW.US        FINNOVATE ACQUISITION
FNWB.US         FIRST NORTHWEST BANCORP
FNWD.US         FINWARD BANCORP
FOCS.US         FOCUS FINANCIAL PARTNERS
FOLD.US         AMICUS THERAPEUTICS
FONR.US         FONAR
FORA.US         FORIAN
FORD.US         FORWARD INDUSTRIES
FORL.US         FOUR LEAF ACQUISITION
FORLU.US        FOUR LEAF ACQUISITION
FORLW.US        Four Leaf Acquisition Corp
FORM.US         FORMFACTOR
FORR.US         FORRESTER RESEARCH
FORTY.US        FORMULA SYSTEMS 1985
FOSL.US         FOSSIL GROUP
FOSLL.US        Fossil Group
FOX.US          FOX
FOXA.US         FOX
FOXF.US         FOX FACTORY HOLDING
FPAY.US         FLEXSHOPPER
FRAF.US         FRANKLIN FINANCIAL SERVICES
FRBA.US         FIRST BANK/HAMILTON NJ
FRBK.US         REPUBLIC FIRST BANCORP
FRBN.US         FORBION EUROPEAN ACQUISITION
FRBNU.US        FORBION EUROPEAN ACQUISITION
FRBNW.US        FORBION EUROPEAN ACQUISITION
FREE.US         WHOLE EARTH BRANDS
FREEW.US        WHOLE EARTH BRANDS
FREQ.US         FREQUENCY THERAPEUTICS
FRES.US         FRESH2 GROUP
FRG.US          FRANCHISE GROUP
FRGAP.US        Franchise Group
FRGI.US         FIESTA RESTAURANT GROUP
FRGT.US         FREIGHT TECHNOLOGIES
FRHC.US         FREEDOM HOLDING CORP/NV
FRLA.US         FORTUNE RISE ACQUISITION
FRLAU.US        FORTUNE RISE ACQUISITION
FRLAW.US        FORTUNE RISE ACQUISITION
FRLN.US         FREELINE THERAPEUTICS HOLDINGS
FRME.US         FIRST MERCHANTS
FRMEP.US        First Merchants Corp
FROG.US         JFROG
FRPH.US         FRP HOLDINGS
FRPT.US         FRESHPET
FRSH.US         FRESHWORKS
FRST.US         PRIMIS FINANCIAL
FRSX.US         FORESIGHT AUTONOMOUS HOLDINGS
FRTX.US         FRESH TRACKS THERAPEUTICS
FRZA.US         FORZA X1
FSBC.US         FIVE STAR BANCORP
FSBW.US         FS BANCORP
FSEA.US         FIRST SEACOAST BANCORP
FSFG.US         FIRST SAVINGS FINANCIAL GROUP
FSLR.US         FIRST SOLAR
FSRX.US         FINSERV ACQUISITION II
FSRXU.US        FINSERV ACQUISITION II
FSRXW.US        FINSERV ACQUISITION II
FSTR.US         L B FOSTER
FSV.US          FIRSTSERVICE
FTAI.US         FTAI AVIATION
FTAIM.US        FTAI Aviation Ltd
FTAIN.US        FTAI Aviation Ltd
FTAIO.US        FTAI Aviation Ltd
FTAIP.US        FTAI Aviation Ltd
FTCI.US         FTC SOLAR
FTDR.US         FRONTDOOR
FTDS.US         FIRST TRUST DIVIDEND STRENGTH
FTEK.US         FUEL TECH
FTFT.US         FUTURE FINTECH GROUP
FTGS.US         FIRST TRUST GROWTH STRENGTH ETF
FTHM.US         FATHOM HOLDINGS
FTII.US         FUTURETECH II ACQUISITION
FTIIU.US        FUTURETECH II ACQUISITION
FTIIW.US        FUTURETECH II ACQUISITION
FTNT.US         FORTINET
FTQI.US         FIRST TRUST ETF VI FIRST TRUST NASDAQ BUYWRITE INCOME ETF
FTRE.US         FORTREA HOLDINGS
FTREV.US        FORTREA HOLDINGS
FULC.US         FULCRUM THERAPEUTICS
FULT.US         FULTON FINANCIAL
FULTP.US        Fulton Financial Corp
FUNC.US         FIRST UNITED
FUND.US         SPROTT FOCUS TRUST
FUSB.US         FIRST US BANCSHARES
FUSN.US         FUSION PHARMACEUTICALS
FUTU.US         FUTU HOLDINGS
FUV.US          ARCIMOTO
FVCB.US         FVCBANKCORP
FWAC.US         FIFTH WALL ACQUISITION III
FWBI.US         FIRST WAVE BIOPHARMA
FWONA.US        LIBERTY MEDIA CORP-LIBERTY FORMULA ONE
FWONK.US        LIBERTY MEDIA CORP-LIBERTY FORMULA ONE
FWRD.US         FORWARD AIR
FWRG.US         FIRST WATCH RESTAURANT GROUP
FXCO.US         FINANCIAL STRATEGIES ACQUISITION
FXCOR.US        FINANCIAL STRATEGIES ACQUISITION
FXCOW.US        FINANCIAL STRATEGIES ACQUISITION
FXNC.US         FIRST NATIONAL CORP/VA
FYBR.US         FRONTIER COMMUNICATIONS PARENT
GABC.US         GERMAN AMERICAN BANCORP
GAIA.US         GAIA
GAIN.US         GLADSTONE INVESTMENT
GAINL.US        Gladstone Investment Corp
GAINN.US        Gladstone Investment Corp
GAINZ.US        Gladstone Investment Corp
GALT.US         GALECTIN THERAPEUTICS
GAMB.US         GAMBLING.COM GROUP
GAMC.US         GOLDEN ARROW MERGER
GAMCU.US        GOLDEN ARROW MERGER
GAMCW.US        GOLDEN ARROW MERGER
GAME.US         GAMESQUARE HOLDINGS
GAN.US          GAN
GANX.US         GAIN THERAPEUTICS
GASS.US         STEALTHGAS
GATE.US         MARBLEGATE ACQUISITION
GATEU.US        MARBLEGATE ACQUISITION
GATEW.US        MARBLEGATE ACQUISITION
GBBK.US         GLOBAL BLOCKCHAIN ACQUISITION
GBBKR.US        GLOBAL BLOCKCHAIN ACQUISITION
GBDC.US         GOLUB CAPITAL BDC
GBIO.US         GENERATION BIO
GBNH.US         GREENBROOK TMS
GBNY.US         GENERATIONS BANCORP NY
GBRGU.US        GOLDENBRIDGE ACQUISITION
GCBC.US         GREENE COUNTY BANCORP
GCMG.US         GCM GROSVENOR
GCMGW.US        GCM GROSVENOR
GCT.US          GIGACLOUD TECHNOLOGY
GCTK.US         GLUCOTRACK
GDC.US          GD CULTURE GROUP
GDEN.US         GOLDEN ENTERTAINMENT
GDEV.US         NEXTERS
GDHG.US         GOLDEN HEAVEN GROUP HOLDINGS
GDNR.US         GARDINER HEALTHCARE ACQUISITIONS
GDNRU.US        GARDINER HEALTHCARE ACQUISITIONS
GDRX.US         GOODRX HOLDINGS
GDS.US          GDS HOLDINGS
GDST.US         GOLDENSTONE ACQUISITION
GDSTR.US        GOLDENSTONE ACQUISITION
GDSTU.US        GOLDENSTONE ACQUISITION
GDTC.US         CYTOMED THERAPEUTICS
GDYN.US         GRID DYNAMICS HOLDINGS
GECC.US         GREAT ELM CAPITAL
GECCM.US        Great Elm Capital Corp
GECCN.US        Great Elm Capital Corp
GECCO.US        Great Elm Capital Corp
GEG.US          GREAT ELM GROUP
GEGGL.US        Great Elm Group
GEHC.US         GE HEALTHCARE TECHNOLOGIES
GEN.US          GEN DIGITAL
GENE.US         GENETIC TECHNOLOGIES
GENK.US         GEN RESTAURANT GROUP
GENQ.US         GENESIS UNICORN CAPITAL
GENQU.US        GENESIS UNICORN CAPITAL
GENQW.US        GENESIS UNICORN CAPITAL
GEOS.US         GEOSPACE TECHNOLOGIES
GERN.US         GERON
GEVO.US         GEVO
GFAI.US         GUARDFORCE AI
GFAIW.US        GUARDFORCE AI
GFGD.US         GROWTH FOR GOOD ACQUISITION
GFGDR.US        GROWTH FOR GOOD ACQUISITION
GFGDU.US        GROWTH FOR GOOD ACQUISITION
GFGDW.US        GROWTH FOR GOOD ACQUISITION
GFGF.US         GURU FAVORITE STOCKS ETF
GFS.US          GLOBALFOUNDRIES
GGAAF.US        GENESIS GROWTH TECH ACQUISITION
GGAL.US         GRUPO FINANCIERO GALICIA
GGAUF.US        GENESIS GROWTH TECH ACQUISITION
GGE.US          GREEN GIANT
GGLL.US         DIREXION DAILY GOOGL BULL 1.5X SHARES
GGLS.US         DIREXION DAILY GOOGL BEAR 1X SHARES
GGR.US          GOGORO
GGROW.US        GOGORO
GH.US           GUARDANT HEALTH
GHI.US          AMERICA FIRST MULTIFAMILY INVESTORS
GHIX.US         GORES HOLDINGS IX
GHIXU.US        GORES HOLDINGS IX
GHIXW.US        GORES HOLDINGS IX
GHRS.US         GH RESEARCH
GHSI.US         GUARDION HEALTH SCIENCES
GIFI.US         GULF ISLAND FABRICATION
GIGM.US         GIGAMEDIA
GIII.US         G-III APPAREL GROUP
GILD.US         GILEAD SCIENCES
GILT.US         GILAT SATELLITE NETWORKS
GIPR.US         GENERATION INCOME PROPERTIES
GIPRW.US        GENERATION INCOME PROPERTIES
GLAD.US         GLADSTONE CAPITAL
GLBE.US         GLOBAL-E ONLINE
GLBS.US         GLOBUS MARITIME
GLBZ.US         GLEN BURNIE BANCORP
GLDD.US         GREAT LAKES DREDGE & DOCK
GLG.US          TD HOLDINGS INC/CHINA
GLLI.US         GLOBALINK INVESTMENT
GLLIR.US        GLOBALINK INVESTMENT
GLLIU.US        GLOBALINK INVESTMENT
GLLIW.US        GLOBALINK INVESTMENT
GLMD.US         GALMED PHARMACEUTICALS
GLNG.US         GOLAR LNG
GLPG.US         GALAPAGOS
GLPI.US         GAMING AND LEISURE PROPERTIES
GLRE.US         GREENLIGHT CAPITAL RE
GLSI.US         GREENWICH LIFESCIENCES
GLST.US         GLOBAL STAR ACQUISITION
GLSTR.US        GLOBAL STAR ACQUISITION
GLSTU.US        GLOBAL STAR ACQUISITION
GLTO.US         GALECTO
GLUE.US         MONTE ROSA THERAPEUTICS
GLYC.US         GLYCOMIMETICS
GMAB.US         GENMAB A/S
GMBL.US         ESPORTS ENTERTAINMENT GROUP
GMBLP.US        Esports Entertainment Group
GMBLW.US        ESPORTS ENTERTAINMENT GROUP
GMBLZ.US        ESPORTS ENTERTAINMENT GROUP
GMDA.US         GAMIDA CELL
GMFI.US         AETHERIUM ACQUISITION
GMFIU.US        AETHERIUM ACQUISITION
GMFIW.US        AETHERIUM ACQUISITION
GMGI.US         GOLDEN MATRIX GROUP
GMVD.US         G MEDICAL INNOVATIONS HOLDINGS
GMVDW.US        G MEDICAL INNOVATIONS HOLDINGS
GNFT.US         GENFIT
GNLN.US         GREENLANE HOLDINGS
GNLX.US         GENELUX
GNPX.US         GENPREX
GNSS.US         GENASYS
GNTA.US         GENENTA SCIENCE S.P.A.
GNTX.US         GENTEX
GO.US           GROCERY OUTLET HOLDING
GOCO.US         GOHEALTH
GODN.US         GOLDEN STAR ACQUISITION
GODNR.US        GOLDEN STAR ACQUISITION
GODNU.US        GOLDEN STAR ACQUISITION
GOEV.US         CANOO
GOEVW.US        CANOO
GOGL.US         GOLDEN OCEAN GROUP
GOGO.US         GOGO
GOOD.US         GLADSTONE COMMERCIAL
GOODN.US        Gladstone Commercial Corp
GOODO.US        Gladstone Commercial Corp
GOOG.US         ALPHABET
GOOGL.US        ALPHABET
GOSS.US         GOSSAMER BIO
GOVX.US         GEOVAX LABS
GOVXW.US        GEOVAX LABS
GP.US           GREENPOWER MOTOR
GPAC.US         GLOBAL PARTNER ACQUISITION II
GPACU.US        GLOBAL PARTNER ACQUISITION II
GPACW.US        GLOBAL PARTNER ACQUISITION II
GPCR.US         STRUCTURE THERAPEUTICS
GPP.US          GREEN PLAINS PARTNERS
GPRE.US         GREEN PLAINS
GPRO.US         GOPRO
GRAB.US         GRAB HOLDINGS
GRABW.US        GRAB HOLDINGS
GRCL.US         GRACELL BIOTECHNOLOGIES
GRCYF.US        GREENCITY ACQUISITION
GREE.US         GREENIDGE GENERATION HOLDINGS
GREEL.US        Greenidge Generation Holdings
GRFS.US         GRIFOLS
GRI.US          GRI BIO
GRIL.US         MUSCLE MAKER
GRIN.US         GRINDROD SHIPPING HOLDINGS
GRNA.US         GREENLIGHT BIOSCIENCES HOLDINGS PBC
GRNAW.US        GREENLIGHT BIOSCIENCES HOLDINGS PBC
GRNQ.US         GREENPRO CAPITAL
GRNR.US         GLOBAL X FUNDS-GLOBAL X GREEN BUILDING ETF
GROM.US         GROM SOCIAL ENTERPRISES
GROMW.US        GROM SOCIAL ENTERPRISES
GROW.US         US GLOBAL INVESTORS
GRPH.US         GRAPHITE BIO
GRPN.US         GROUPON
GRRR.US         GORILLA TECHNOLOGY GROUP
GRRRW.US        GORILLA TECHNOLOGY GROUP
GRTS.US         GRITSTONE BIO
GRTX.US         GALERA THERAPEUTICS
GRVY.US         GRAVITY
GRWG.US         GROWGENERATION
GSBC.US         GREAT SOUTHERN BANCORP
GSD.US          GLOBAL SYSTEMS DYNAMICS
GSDWU.US        GLOBAL SYSTEMS DYNAMICS
GSDWW.US        GLOBAL SYSTEMS DYNAMICS
GSHD.US         GOOSEHEAD INSURANCE
GSIT.US         GSI TECHNOLOGY
GSM.US          FERROGLOBE
GSMG.US         GLORY STAR NEW MEDIA GROUP HOLDINGS
GSMGW.US        GLORY STAR NEW MEDIA GROUP HOLDINGS
GSRM.US         GSR II METEORA ACQUISITION
GSRMR.US        GSR II METEORA ACQUISITION
GSUN.US         GOLDEN SUN EDUCATION GROUP
GT.US           GOODYEAR TIRE & RUBBER
GTAC.US         GLOBAL TECHNOLOGY ACQUISITION I
GTBP.US         GT BIOPHARMA
GTEC.US         GREENLAND TECHNOLOGIES HOLDING
GTH.US          GENETRON HOLDINGS
GTHX.US         G1 THERAPEUTICS
GTIM.US         GOOD TIMES RESTAURANTS
GTLB.US         GITLAB
GTR.US          WISDOMTREE TARGET RANGE FUND
GTX.US          GARRETT MOTION
GURE.US         GULF RESOURCES
GVCI.US         GREEN VISOR FINANCIAL TECHNOLOGY ACQUISITION I
GVP.US          GSE SYSTEMS
GWAV.US         GREENWAVE TECHNOLOGY SOLUTIONS
GWRS.US         GLOBAL WATER RESOURCES
GYRO.US         GYRODYNE
HA.US           HAWAIIAN HOLDINGS
HAFC.US         HANMI FINANCIAL
